artist_name,artist_wikidata_uri,related_work,title,url,redirect_url,artist_info,print_info,description,topic
"Bloemaert, Abraham",http://www.wikidata.org/entity/Q329811,13,Allegory of the Vanity and Transitory Nature of Worldly Possessions,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836624?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910449,"Engraving by Willem Isaakz Swanenburgh I (1581–1612), after Abraham Bloemaert (1564–1651). J. Razet, ""divulg."" [Netherlands] 1608.","26 x 18.5 cm, imageCF n1","This is a later state, with J. Razet's address. A woman sits beside a table laden with gold coins and other riches. She holds an urn with smoke rising out of it, a symbol of transience, and a peacock stands behind her, signifying vanity.",Vanity and Virtue
"Razet, J.",http://www.wikidata.org/entity/Q21531043,13,Allegory of the Vanity and Transitory Nature of Worldly Possessions,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836624?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910449,"Engraving by Willem Isaakz Swanenburgh I (1581–1612), after Abraham Bloemaert (1564–1651). J. Razet, ""divulg."" [Netherlands] 1608.","26 x 18.5 cm, imageCF n1","This is a later state, with J. Razet's address. A woman sits beside a table laden with gold coins and other riches. She holds an urn with smoke rising out of it, a symbol of transience, and a peacock stands behind her, signifying vanity.",Vanity and Virtue
"Swanenburgh, Willem Isaakz, I",http://www.wikidata.org/entity/Q1961244,13,Allegory of the Vanity and Transitory Nature of Worldly Possessions,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836624?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910449,"Engraving by Willem Isaakz Swanenburgh I (1581–1612), after Abraham Bloemaert (1564–1651). J. Razet, ""divulg."" [Netherlands] 1608.","26 x 18.5 cm, imageCF n1","This is a later state, with J. Razet's address. A woman sits beside a table laden with gold coins and other riches. She holds an urn with smoke rising out of it, a symbol of transience, and a peacock stands behind her, signifying vanity.",Vanity and Virtue
"Bloemaert, Abraham",http://www.wikidata.org/entity/Q329811,14,Allegory of Wealth and Luxury,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836625?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910451,"Engraved and published by Willem Isaakz Swanenburgh I (1581–1612), after Abraham Bloemaert (1564–1651). [Netherlands] 1611.","23.6 x 18.7 cm, imageCF n2","An earlier state was published in 1609. A similar engraving to 13; the woman sits at a table of money, silver chalices, and jewels. In the foreground are a crown and scepter, behind which smoke and bubbles rise from a cup—symbolizing the transience of power and glory.",Vanity and Virtue
"Swanenburgh, Willem Isaakz, I",http://www.wikidata.org/entity/Q1961244,14,Allegory of Wealth and Luxury,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836625?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910451,"Engraved and published by Willem Isaakz Swanenburgh I (1581–1612), after Abraham Bloemaert (1564–1651). [Netherlands] 1611.","23.6 x 18.7 cm, imageCF n2","An earlier state was published in 1609. A similar engraving to 13; the woman sits at a table of money, silver chalices, and jewels. In the foreground are a crown and scepter, behind which smoke and bubbles rise from a cup—symbolizing the transience of power and glory.",Vanity and Virtue
Rembrandt van Rhyn,http://www.wikidata.org/entity/Q5598,15,"Jan Uytenbogaert, 'The Goldweigher'","http://nrs.harvard.edu/urn-3:HBS.BAKER:836626?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910453,Etching and drypoint by Rembrandt van Rhyn (1606–69). [Netherlands] 1639.,24.5 x 20.8 cmCA n4 x,"Second state. Uytenbogaert was the Receiver General in Amsterdam for the state of Holland. He made the first payment on Rembrandt's new house in 1639, since one of his clients owed the artist money for two paintings. Rembrandt probably did this portrait in thanks for Uytenbogaert's generosity.","Misers, Moneylenders, and Thieves"
"Basan, Pierre François",http://www.wikidata.org/entity/Q3383022,16,Le Plaisir des Vieillards,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836627?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910455,"Engraved and published by Pierre François Basan (1735–97), after the painting by David Teniers the Younger (1610–90). Paris [18th century].",26.5 x 19.2 cmCA f19 x,"Below image: ""Tiré du Cabinet de Mr. le Comte de Vence."" An old couple weighing coins.","Misers, Moneylenders, and Thieves"
"Teniers, David, the Younger",http://www.wikidata.org/entity/Q335022,16,Le Plaisir des Vieillards,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836627?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910455,"Engraved and published by Pierre François Basan (1735–97), after the painting by David Teniers the Younger (1610–90). Paris [18th century].",26.5 x 19.2 cmCA f19 x,"Below image: ""Tiré du Cabinet de Mr. le Comte de Vence."" An old couple weighing coins.","Misers, Moneylenders, and Thieves"
"Hess, Carl Ernst Christoph",http://www.wikidata.org/entity/Q76135,17,Peasant with Coins,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836628?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910457,"Engraving and drypoint by Carl Ernst Christoph Hess (1755–1828), after the painting by Adrian van Ostade (1610–85). [Germany, 18th century].",28.5 x 19.7 cmCA g12 x,"Below image: ""Aus der Sammlung des Canonicus Speth.""","Misers, Moneylenders, and Thieves"
"Ostade, Adrian van",http://www.wikidata.org/entity/Q352438,17,Peasant with Coins,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836628?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910457,"Engraving and drypoint by Carl Ernst Christoph Hess (1755–1828), after the painting by Adrian van Ostade (1610–85). [Germany, 18th century].",28.5 x 19.7 cmCA g12 x,"Below image: ""Aus der Sammlung des Canonicus Speth.""","Misers, Moneylenders, and Thieves"
"Passe, Crispijn de, the Elder",http://www.wikidata.org/entity/Q140096,18,Banquet with Musicians,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836629?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910459,"Engraving by Crispijn de Passe the Elder (ca. 1565–1637). [n.p., ca. 1600].",10 x 14 cmCA g42,"A woman steals the purse of a peasant while they sit at a meal. Below image: ""Die burss, vnd frische frewlein den bawren bringen vmb das sein."" From his Stirpium Insignium Nobilitatis, ""in Verlegung Ludwig Kunings vo Basel,"" first edition published before 1612, another edition dated 1617. The prints were also published in other sets.","Misers, Moneylenders, and Thieves"
"Mitelli, Giuseppe Maria",http://www.wikidata.org/entity/Q3108083,19,"Dove L'Oro Parla, Ogni Lingua Tace","http://nrs.harvard.edu/urn-3:HBS.BAKER:836630?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910461,"Etching and engraving by Giuseppe Maria Mitelli (1634–1718). [Bologna, 1678].",27 x 20 cmCA i2 x,"Number thirteen from his series of fifty engravings illustrating Italian proverbs. A man murders, then steals the victim's purse, offering a witness money to keep quiet.","Misers, Moneylenders, and Thieves"
"Galle, Philip",http://www.wikidata.org/entity/Q1379395,2,The Unhappy Lot of the Rich,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836613?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910427,"Engraving by Philip Galle (1537–1612), after Maarten van Heemskerck (1498–1574). [Antwerp, 1563].",17 x 23 cmCF b11,"First state. Plate four of his series of six engravings after Heemskerck with this title. Depiction of the qualities that accompany money: Queen Money's car is drawn by Danger and Fear, while Robbery hides under her cloak. She is followed by Folly, Envy, Theft, and the Entire Populace.",Vanity and Virtue
"Heemskerck, Maarten van",http://www.wikidata.org/entity/Q538350,2,The Unhappy Lot of the Rich,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836613?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910427,"Engraving by Philip Galle (1537–1612), after Maarten van Heemskerck (1498–1574). [Antwerp, 1563].",17 x 23 cmCF b11,"First state. Plate four of his series of six engravings after Heemskerck with this title. Depiction of the qualities that accompany money: Queen Money's car is drawn by Danger and Fear, while Robbery hides under her cloak. She is followed by Folly, Envy, Theft, and the Entire Populace.",Vanity and Virtue
"Mitelli, Giuseppe Maria",http://www.wikidata.org/entity/Q3108083,20,La Commodità Fà l'Huomo Ladro,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836631?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910463,"Etching and engraving by Giuseppe Maria Mitelli (1634–1718). [Bologna, 1678].",27 x 20 cmCA i3 x,Number twenty-two from his series of fifty engravings illustrating Italian proverbs. A thief steals the purse of a sleeping old man.,"Misers, Moneylenders, and Thieves"
"Julien, Joseph Laurent",http://www.wikidata.org/entity/Q102841270,21,Le Riche du Jour ou le Préteur sur Gages,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836632?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910465,"Hand-colored engraving by Joseph Laurent Julien (d.1805). Paris, chez l'auteur; et chez Depeuille, [late 18th century].",32.5 x 37 cmCA f18 xxx,"An old woman pawns her jewels to a sinister-looking pawnbroker, whose sign reads: ""Je prête Madame, à mes concitoyens à deux cent pour cent d'intérèts.""","Misers, Moneylenders, and Thieves"
"Ciartres, F.L.D.",http://www.wikidata.org/entity/Q3085083,22,Le Cornard Contant,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836633?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910467,"Engraving; F.L.D. Ciartres ""excud."" (François Langlois, 1589–1647). [France, early 17th century].","31 x 22 cm, imageCA f1 xx","Possibly a plate from his Oiseaux et Grotesques. The ""happy cuckold"" does not mind his lost honor, because his ""horns of plenty"" bring him immeasurable happiness. (French caption).","Misers, Moneylenders, and Thieves"
"Langlois, François (F.L.D. Ciartres)",http://www.wikidata.org/entity/Q3085083,22,Le Cornard Contant,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836633?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910467,"Engraving; F.L.D. Ciartres ""excud."" (François Langlois, 1589–1647). [France, early 17th century].","31 x 22 cm, imageCA f1 xx","Possibly a plate from his Oiseaux et Grotesques. The ""happy cuckold"" does not mind his lost honor, because his ""horns of plenty"" bring him immeasurable happiness. (French caption).","Misers, Moneylenders, and Thieves"
,,23,Le Diable d'Argent,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836634?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910469,"Etching and engraving by unknown artist. Paris, Chez Daumont, [early 18th century].",22.5 x 31.5 cmCF f14 xx,"One of the earliest prints of the flying ""money devil,"" who is pursued by people of all trades. Many thematically similar prints were published in Paris and Épinal over the next 150 years. (See 24-26).",Money Devil
,,24,Le Grand Diable d'Argent Patron de la Finance,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836635?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910471,"Hand-colored etching by unknown artist. [France, early 19th century].","25.5 x 34.9 cm, imageCF f13 xx","Pour courir au diable d'argent
On se donne un mal impayable
On se dit partout indigent
Tant de monde est insatiable. (Below image)",Money Devil
,,25,"Les Vérités du Jour, ou le Grand Diable d'Argent","http://nrs.harvard.edu/urn-3:HBS.BAKER:836636?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910473,"Hand-colored wood engraving. Épinal, Fabrique de Pellerin, [ca. 1840].",29.5 x 49.5 cmCF f11 xxx,"An example of one of the hundreds of prints published by the Pellerin firm during the height of its renown as creator of ""images populaires.""",Money Devil
Pellerin,http://www.wikidata.org/entity/Q3164685,26,"Le Grand Diable d'Argent, Patron de la Finance","http://nrs.harvard.edu/urn-3:HBS.BAKER:836637?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910475,"Colored lithograph, signed ""J.P. del, C.M. lith."" Épinal, Fabrique de Pellerin, [188–?].",20.5 x 32 cmCF f15 x,"Below image is a nine-stanza poem, to be sung to the tune of: ""J'ai vu partout dans mes voyages; ou La pipe de tabac.""",Money Devil
"Badalocchio, Sisto",http://www.wikidata.org/entity/Q729057,27,The Queen of Sheba Bringing Gifts to King Solomon. 1 Kings 10,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836638?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910477,"Etching by Sisto Badalocchio (1581 or 85–1647). [Rome, 1607].",13.4 x 18 cmCC i1,"Plate fifty from Historia del Testamento Vecchio dipinta in Roma nel Vaticano da Raffaelle di Urbino, published by Giovanni Orlandini in Rome, 1607. It was comprised of fifty-one etchings (twenty-three by Badalocchio, the others by Giovanni Lanfranco, 1582–1647) after Raphael's frescos in the loggias of the Vatican.",Biblical and Mythological Scenes
"Doetechum, Lucas van",http://www.wikidata.org/entity/Q18516699,28,The Parable of the Talents. Mt. 25: 14,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836639?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910479,"Engraving by Lucas van Doetechum (fl. 1559), after Gerhard Paludanus (von Groeningen, fl. 1560–90). Jan Claesz Visscher ""excudit."" [Netherlands, early 17th century].",20.5 x 28.7 cmCF n6 x,"A later state of a print first issued as part of a series of fourteen engravings from the New Testament: Memorabilium, Novi Testamenti . . . Antwerp, exc. Gerard de Jode.",Biblical and Mythological Scenes
"Paludanus, Gerhard (von Groeningen)",http://www.wikidata.org/entity/Q20011635,28,The Parable of the Talents. Mt. 25: 14,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836639?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910479,"Engraving by Lucas van Doetechum (fl. 1559), after Gerhard Paludanus (von Groeningen, fl. 1560–90). Jan Claesz Visscher ""excudit."" [Netherlands, early 17th century].",20.5 x 28.7 cmCF n6 x,"A later state of a print first issued as part of a series of fourteen engravings from the New Testament: Memorabilium, Novi Testamenti . . . Antwerp, exc. Gerard de Jode.",Biblical and Mythological Scenes
"Visscher, Jan Claesz",http://www.wikidata.org/entity/Q1094674,28,The Parable of the Talents. Mt. 25: 14,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836639?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910479,"Engraving by Lucas van Doetechum (fl. 1559), after Gerhard Paludanus (von Groeningen, fl. 1560–90). Jan Claesz Visscher ""excudit."" [Netherlands, early 17th century].",20.5 x 28.7 cmCF n6 x,"A later state of a print first issued as part of a series of fourteen engravings from the New Testament: Memorabilium, Novi Testamenti . . . Antwerp, exc. Gerard de Jode.",Biblical and Mythological Scenes
"Heemskerck, Maarten van",http://www.wikidata.org/entity/Q538350,29,The Parable of Ananias and Sapphira. Acts 5: 1,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836640?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910481,"Engraving after Maarten van Heemskerck (1498–1574). Jan Claesz Visscher ""excudebat."" [Amsterdam, early 17th century].",20.9 x 26.4 cmCC n6 x,Ananias and his wife Sapphira were struck dead for holding back some of their property that was to be communally owned.,Biblical and Mythological Scenes
"Visscher, Jan Claesz",http://www.wikidata.org/entity/Q1094674,29,The Parable of Ananias and Sapphira. Acts 5: 1,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836640?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910481,"Engraving after Maarten van Heemskerck (1498–1574). Jan Claesz Visscher ""excudebat."" [Amsterdam, early 17th century].",20.9 x 26.4 cmCC n6 x,Ananias and his wife Sapphira were struck dead for holding back some of their property that was to be communally owned.,Biblical and Mythological Scenes
"Cock, Hieronymu",http://www.wikidata.org/entity/Q640361,3,The Triumph of Riches,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836614?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910429,"Engraving by Dirck Volkertsz. Coornhert (1519–90), or Cornelis Cort (1533–78), after Maarten van Heemskerck (1498–1574). Published by Hieronymus Cock (1510–70). [Antwerp, 1564].",22.2 x 29.4 cmCF b5 xx,"First state. Plate two of the series of eight engravings after Heemskerck entitled Circulus vicissitudinis rerum humanarum (Cycle of the vicissitudes of human affairs.) Riches, the mother of Pride, rides on the car named Fame, which is pulled by Fraud and Rapine. Following Betrayal, Usury, and Lust are False Joy and other Idle Pleasures.",Vanity and Virtue
"Coornhert, Dirck Volkertsz.",http://www.wikidata.org/entity/Q765465,3,The Triumph of Riches,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836614?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910429,"Engraving by Dirck Volkertsz. Coornhert (1519–90), or Cornelis Cort (1533–78), after Maarten van Heemskerck (1498–1574). Published by Hieronymus Cock (1510–70). [Antwerp, 1564].",22.2 x 29.4 cmCF b5 xx,"First state. Plate two of the series of eight engravings after Heemskerck entitled Circulus vicissitudinis rerum humanarum (Cycle of the vicissitudes of human affairs.) Riches, the mother of Pride, rides on the car named Fame, which is pulled by Fraud and Rapine. Following Betrayal, Usury, and Lust are False Joy and other Idle Pleasures.",Vanity and Virtue
"Cort, Cornelis",http://www.wikidata.org/entity/Q167220,3,The Triumph of Riches,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836614?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910429,"Engraving by Dirck Volkertsz. Coornhert (1519–90), or Cornelis Cort (1533–78), after Maarten van Heemskerck (1498–1574). Published by Hieronymus Cock (1510–70). [Antwerp, 1564].",22.2 x 29.4 cmCF b5 xx,"First state. Plate two of the series of eight engravings after Heemskerck entitled Circulus vicissitudinis rerum humanarum (Cycle of the vicissitudes of human affairs.) Riches, the mother of Pride, rides on the car named Fame, which is pulled by Fraud and Rapine. Following Betrayal, Usury, and Lust are False Joy and other Idle Pleasures.",Vanity and Virtue
"Heemskerck, Maarten van",http://www.wikidata.org/entity/Q538350,3,The Triumph of Riches,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836614?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910429,"Engraving by Dirck Volkertsz. Coornhert (1519–90), or Cornelis Cort (1533–78), after Maarten van Heemskerck (1498–1574). Published by Hieronymus Cock (1510–70). [Antwerp, 1564].",22.2 x 29.4 cmCF b5 xx,"First state. Plate two of the series of eight engravings after Heemskerck entitled Circulus vicissitudinis rerum humanarum (Cycle of the vicissitudes of human affairs.) Riches, the mother of Pride, rides on the car named Fame, which is pulled by Fraud and Rapine. Following Betrayal, Usury, and Lust are False Joy and other Idle Pleasures.",Vanity and Virtue
"Sadeler, Jan (Johannes), I",http://www.wikidata.org/entity/Q3161745,30,The Apostles Distribute the Money to those in Need. Acts 4: 32-35,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836641?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910483,"Engraving by Jan (Johannes) Sadeler I (1550–1600), after Marten de Vos (1532–1603). [n.p., ca. 1600].","16.5 x 23.8 cm, imageCC b1",,Biblical and Mythological Scenes
"Vos, Marten de",http://www.wikidata.org/entity/Q555022,30,The Apostles Distribute the Money to those in Need. Acts 4: 32-35,"http://nrs.harvard.edu/urn-3:HBS.BAKER:836641?buttons=y&caption=Historical+Collections,+Baker+Library,+Harvard+Business+School",https://iiif.lib.harvard.edu/manifests/view/ids:3910483,"Engraving by Jan (Johannes) Sadeler I (1550–1600), after Marten de Vos (1532–1603). [n.p., ca. 1600].","16.5 x 23.8 cm, imageCC b1",,Biblical and Mythological Scenes
