Title,Author / Creator,Edition,Description,Notes,Subjects,Form / genre,Culture,Identifier,Related work,Related information,Associated name,Use restrictions,Copyright,Repository,Includes layers,Collection,Creation Date,HOLLIS number,Permalink,Source,Image ID,Permalink
L'Accord de Mariage.,"Gaillard, René, ca. 1719-1790, French [engraver];Eisen, Charles, 1720-1778, French [artist]",,"A man gives a young woman money to seal a marriage agreement. There are four witnesses, one has her attention elsewhere.;<i>Materials/Techniques: </i>paper;<i>Materials/Techniques: </i>engraving (printing process);<i>Dimensions: </i>38 x 27 cm., plate mark",,marriage customs and rites ; courtship ; purses (bags) ; money ; rich people ; business ; gowns,engravings,,Coin and Conscience catalog 39,"part of Bleichroeder Print Collection, Kress Collection","<a href=""http://www.library.hbs.edu/hc/cc/""</a>Coin & Conscience: Popular Views of Money, Credit and Speculation. </a>",,"Baker Library Special Collections and Archives, Harvard Business School: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.",,"Baker Library Special Collections and Archives, Harvard Business School CA f24 xx",,,18th century,olvwork308299,"<a href=""http://id.lib.harvard.edu/via/olvwork308299/catalog"">http://id.lib.harvard.edu/via/olvwork308299/catalog</a>",HVD - Images,4083354,https://hollis.harvard.edu/primo-explore/fulldisplay?docid=HVD_VIAolvwork308299&context=L&vid=HVD2&lang=en_US
La Commodità Fà l'Huomo Ladro.,"Mitelli, Giuseppe Maria, 1634-1718, Italian [etcher]",,"Number twenty-two from his series of fifty engravings illustrating Italian proverbs. A thief steals the purse of a sleeping old man.;<i>Materials/Techniques: </i>paper;<i>Materials/Techniques: </i>etching (printing process);<i>Materials/Techniques: </i>engraving (printing process);<i>Dimensions: </i>27 x 20 cm., plate mark",,proverbs ; thieves ; purses (bags) ; money ; sleep ; elderly ; male figures,etchings;engravings,,Coin and Conscience catalog 20,"part of Bleichroeder Print Collection, Kress Collection","<a href=""http://www.library.hbs.edu/hc/cc/""</a>Coin & Conscience: Popular Views of Money, Credit and Speculation. </a>",,"Baker Library Special Collections and Archives, Harvard Business School: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.",,"Baker Library Special Collections and Archives, Harvard Business School CA i3 x",,,1678,olvwork308273,"<a href=""http://id.lib.harvard.edu/via/olvwork308273/catalog"">http://id.lib.harvard.edu/via/olvwork308273/catalog</a>",HVD - Images,4083061,https://hollis.harvard.edu/primo-explore/fulldisplay?docid=HVD_VIAolvwork308273&context=L&vid=HVD2&lang=en_US
La Hausse. In Luck. En Alza.,"Regnier, Claude, 19th cent., French [lithographer];Linder, Philippe Jacques, active 1857-1880, French [artist]",Apr-51,"Pictured is an elegantly dressed woman driving a coach. Her footman rides as her passenger.;<i>Materials/Techniques: </i>paper;<i>Materials/Techniques: </i>lithography;<i>Materials/Techniques: </i>hand coloring;<i>Dimensions: </i>29.8 x 22 cm., image",,carriages ; wealth ; female figures ; horse-drawn vehicles ; driving,,,Coin and Conscience catalog 53,"part of Bleichroeder Print Collection, Kress Collection","<a href=""http://www.library.hbs.edu/hc/cc/""</a>Coin & Conscience: Popular Views of Money, Credit and Speculation.</a>","Dusacq & Cie., France, 19th cent. [publisher]","Baker Library Special Collections and Archives, Harvard Business School: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.",,"Baker Library Special Collections and Archives, Harvard Business School CD f21 xxx",,,last half of 19th century,olvwork308314,"<a href=""http://id.lib.harvard.edu/via/olvwork308314/catalog"">http://id.lib.harvard.edu/via/olvwork308314/catalog</a>",HVD - Images,4084583,https://hollis.harvard.edu/primo-explore/fulldisplay?docid=HVD_VIAolvwork308314&context=L&vid=HVD2&lang=en_US
Philippe Du Four.,"Hainzelmann, Johann, printmaker, German [engraver]",,"Du Four was Counselor and Secretary to the king, Treasurer General of France, and President of the Bureau des Finances in Paris.;<i>Materials/Techniques: </i>paper;<i>Materials/Techniques: </i>engraving (printing process);<i>Dimensions: </i>23.5 x 18 cm., plate mark",,portraits ; officers (administrators) ; hair ; cartouches ; coats of arms,engravings,,Coin and Conscience catalog 63,"part of Bleichroeder Print Collection, Kress Collection","<a href=""http://www.library.hbs.edu/hc/cc/""</a>Coin & Conscience: Popular Views of Money, Credit and Speculation. </a>",,"Baker Library Special Collections and Archives, Harvard Business School: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.",,"Baker Library Special Collections and Archives, Harvard Business School F f1 x",,,1682,olvwork308325,"<a href=""http://id.lib.harvard.edu/via/olvwork308325/catalog"">http://id.lib.harvard.edu/via/olvwork308325/catalog</a>",HVD - Images,4086577,https://hollis.harvard.edu/primo-explore/fulldisplay?docid=HVD_VIAolvwork308325&context=L&vid=HVD2&lang=en_US
La Baisse. Out of Luck. En Baja.,"Regnier, Claude, 19th cent., French [lithographer];Linder, Philippe Jacques, active 1857-1880, French [artist]",,"An elegantly dressed woman wearing a black dress, crouching under an umbrella and running through the rain.;<i>Materials/Techniques: </i>paper;<i>Materials/Techniques: </i>lithography;<i>Materials/Techniques: </i>hand coloring;<i>Dimensions: </i>30 x 22.4 cm., image",,female figures ; horse-drawn vehicles ; rain ; umbrellas ; walking,lithographs,,Coin and Conscience catalog 54,"part of Bleichroeder Print Collection, Kress Collection","<a href=""http://www.library.hbs.edu/hc/cc/""</a>Coin & Conscience: Popular Views of Money, Credit and Speculation. </a>","Dusacq & Cie., 19th cent, French [publisher]","Baker Library Special Collections and Archives, Harvard Business School: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.",,"Baker Library Special Collections and Archives, Harvard Business School CD f22 xx",,,last half of 19th century,olvwork309777,"<a href=""http://id.lib.harvard.edu/via/olvwork309777/catalog"">http://id.lib.harvard.edu/via/olvwork309777/catalog</a>",HVD - Images,4086611,https://hollis.harvard.edu/primo-explore/fulldisplay?docid=HVD_VIAolvwork309777&context=L&vid=HVD2&lang=en_US
"Le Grand Diable d'Argent, Patron de la Finance.",,,"Colored lithograph, signed ""J.P. del, C.M. lith."" Below image is a nine-stanza poem, to be sung to the tune of: ""J'ai vu partout dans mes voyages; ou La pipe de tabac."";<i>Materials/Techniques: </i>paper;<i>Materials/Techniques: </i>color lithography;<i>Dimensions: </i>20.5 x 32 cm., image",,devil ; demons ; coins ; people ; moneybags ; satire (artistic device),lithographs,,Coin and Conscience catalog 26,"part of Bleichroeder Print Collection, Kress Collection","<a href=""http://www.library.hbs.edu/hc/cc/""</a>Coin & Conscience: Popular Views of Money, Credit and Speculation. </a>","Imagerie Pellerin, Epinal [publisher]","Baker Library Special Collections and Archives, Harvard Business School: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.",,"Baker Library Special Collections and Archives, Harvard Business School CF f15 x",,,188?,olvwork308282,"<a href=""http://id.lib.harvard.edu/via/olvwork308282/catalog"">http://id.lib.harvard.edu/via/olvwork308282/catalog</a>",HVD - Images,4083829,https://hollis.harvard.edu/primo-explore/fulldisplay?docid=HVD_VIAolvwork308282&context=L&vid=HVD2&lang=en_US
Danaë.,"Desplaces, Louis, printmaker, French [engraver];Maratti, Carlo, 1625-1713, Italian [artist]",,"Below image: ""Tableau du Cabinet de Monsieur de la Faye, Secretaire du Cabinet du Roy."" Depiction of the myth of Danaë, who was seduced by Zeus, disguised as a shower of gold.;<i>Materials/Techniques: </i>paper;<i>Materials/Techniques: </i>engraving (printing process);<i>Dimensions: </i>30.5 x 38.7 cm., plate mark",,mythology ; female figures ; gold ; coins ; gods ; putti ; clouds ; beds,engravings,French,Coin and Conscience catalog 35,"part of Bleichroeder Print Collection, Kress Collection","<a href=""http://www.library.hbs.edu/hc/cc/""</a>Coin & Conscience: Popular Views of Money, Credit and Speculation. </a>",,"Baker Library Special Collections and Archives, Harvard Business School: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.",,"Baker Library Special Collections and Archives, Harvard Business School CC f9 xxx",,,18th century,olvwork308291,"<a href=""http://id.lib.harvard.edu/via/olvwork308291/catalog"">http://id.lib.harvard.edu/via/olvwork308291/catalog</a>",HVD - Images,4088435,https://hollis.harvard.edu/primo-explore/fulldisplay?docid=HVD_VIAolvwork308291&context=L&vid=HVD2&lang=en_US
[Marriage for Wealth Officiated by the Devil],"Saenredam, Jan, 1565-1607 [engraver];Goltzius, Hendrik, 1558-1617, Dutch [artist]",,"The second of three numbered engravings after Goltzius called the Marriage Trilogy. A devil joins the hands of a couple as she blows a stream of coins and smoke, symbolizing the transience of honor and material possessions.;<i>Materials/Techniques: </i>paper;<i>Materials/Techniques: </i>engraving (printing process);<i>Dimensions: </i>23.5 x 16.2 cm., plate mark",,marriage ; devil ; wealth ; coins ; smoke ; claws ; horns ; hoof ; rich people ; moneybags,engravings,Netherlandish,Coin and Conscience catalog 36,"part of Bleichroeder Print Collection, Kress Collection","<a href=""http://www.library.hbs.edu/hc/cc/""</a>Coin & Conscience: Popular Views of Money, Credit and Speculation. </a>",,"Baker Library Special Collections and Archives, Harvard Business School: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.",,"Baker Library Special Collections and Archives, Harvard Business School CF n7 x",,,ca. 1600,olvwork308292,"<a href=""http://id.lib.harvard.edu/via/olvwork308292/catalog"">http://id.lib.harvard.edu/via/olvwork308292/catalog</a>",HVD - Images,4089973,https://hollis.harvard.edu/primo-explore/fulldisplay?docid=HVD_VIAolvwork308292&context=L&vid=HVD2&lang=en_US
Honor.,"Sadeler I, Raphael, born 1560-1561, died 1628 or 1632 [engraver];Vos, Martin de, 1532-1603, Flemish [artist]",,"Plate three from his series of four allegorical prints on the virtues after de Vos, representing also the four ages of man. A pious man turns away from a woman offering riches.;<i>Materials/Techniques: </i>paper;<i>Materials/Techniques: </i>engraving (printing process);<i>Dimensions: </i>22 x 25 cm., image",,moneybags ; allegories ; male figures ; study (rooms) ; books ; female figures ; gold ; coins ; jewels ; temptation ; dogs ; processions ; churches,engravings,,Coin and Conscience catalog 9,"part of Bleichroeder Print Collection, Kress Collection","<a href=""http://www.library.hbs.edu/hc/cc/""</a>Coin & Conscience: Popular Views of Money, Credit and Speculation. </a>",,"Baker Library Special Collections and Archives, Harvard Business School: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.",,"Baker Library Special Collections and Archives, Harvard Business School CF b8 x",,,1591,olvwork308260,"<a href=""http://id.lib.harvard.edu/via/olvwork308260/catalog"">http://id.lib.harvard.edu/via/olvwork308260/catalog</a>",HVD - Images,4086446,https://hollis.harvard.edu/primo-explore/fulldisplay?docid=HVD_VIAolvwork308260&context=L&vid=HVD2&lang=en_US
Vue de la Bourse et du Magazin des Marchandises en remontant la petite Neva. [St. Petersburg],"Auvray, Pierre Laurent, b.1736, French [engraver (printmaker)];Lespinasse, Louis Nicolas de, 1734-1808, French [artist]",,"Plate from Nicolas Gabriel Leclerc's Histoire physique, morale, civile et politique de la Russie moderne. Paris et Versailles, 1783-85, which Auvray illustrated.;<i>Materials/Techniques: </i>paper;<i>Materials/Techniques: </i>engraving (printing process);<i>Dimensions: </i>24.8 x 35.5 cm., plate mark",,stock exchanges ; commercial buildings ; sailing vessels ; wharves ; trade,engravings,,Coin and Conscience catalog 69,"part of Bleichroeder Print Collection, Kress Collection","<a href=""http://www.library.hbs.edu/hc/cc/""</a>Coin & Conscience: Popular Views of Money, Credit and Speculation. </a>","Clerc, Nicolas-Gabriel, 1726-1798 [publisher]","Baker Library Special Collections and Archives, Harvard Business School: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.",,"Baker Library Special Collections and Archives, Harvard Business School AE r1 xx",,,ca. 1785,olvwork308331,"<a href=""http://id.lib.harvard.edu/via/olvwork308331/catalog"">http://id.lib.harvard.edu/via/olvwork308331/catalog</a>",HVD - Images,4088270,https://hollis.harvard.edu/primo-explore/fulldisplay?docid=HVD_VIAolvwork308331&context=L&vid=HVD2&lang=en_US
Le Diable d'Argent,,,"Print by unknown artist. One of the earliest prints of the flying ""money devil,"" who is pursued by people of all trades. Many thematically similar prints were published in Paris and Épinal over the next 150 years.;<i>Materials/Techniques: </i>paper;<i>Materials/Techniques: </i>engraving (printing process);<i>Materials/Techniques: </i>etching (printing process);<i>Dimensions: </i>22.5 x 31.5 cm., plate mark",,moneybags ; coins ; devil ; demons ; human figures ; clergy ; caduceus ; firearms,engravings;etchings,,Coin and Conscience catalog 23,"part of Bleichroeder Print Collection, Kress Collection","<a href=""http://www.library.hbs.edu/hc/cc/""</a>Coin & Conscience: Popular Views of Money, Credit and Speculation. </a>","Chez Daumont, rue St. Martin, Paris, France [publisher]","Baker Library Special Collections and Archives, Harvard Business School: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.",,"Baker Library Special Collections and Archives, Harvard Business School CF f14 xx",,,early 18th century,olvwork308276,"<a href=""http://id.lib.harvard.edu/via/olvwork308276/catalog"">http://id.lib.harvard.edu/via/olvwork308276/catalog</a>",HVD - Images,4084064,https://hollis.harvard.edu/primo-explore/fulldisplay?docid=HVD_VIAolvwork308276&context=L&vid=HVD2&lang=en_US
Le Grand Diable d'Argent Patron de la Finance.,,,"Hand-colored etching by unknown artist.;<i>Materials/Techniques: </i>paper;<i>Materials/Techniques: </i>etching (printing process);<i>Materials/Techniques: </i>hand coloring;<i>Dimensions: </i>25.5 x 34.9 cm., plate mark",Inscription: Below image: Pour courir au diable d'argent On se donne un mal impayable On se dit partout indigent Tant de monde est insatiable.,devil ; demons ; coins ; human figures ; wings ; moneybags ; satire (artistic device),etchings,French,Coin and Conscience catalog 24,"part of Bleichroeder Print Collection, Kress Collection","<a href=""http://www.library.hbs.edu/hc/cc/""</a>Coin & Conscience: Popular Views of Money, Credit and Speculation. </a>",,"Baker Library Special Collections and Archives, Harvard Business School: These images may not be reproduced or transmitted in any form or by any means, electronic or mechanical, without permission in writing from the Historical Collections Department, Baker Library, Harvard Business School. Appointment necessary to consult collection.",,"Baker Library Special Collections and Archives, Harvard Business School CF f13 xx",,,early 19th century,olvwork308277,"<a href=""http://id.lib.harvard.edu/via/olvwork308277/catalog"">http://id.lib.harvard.edu/via/olvwork308277/catalog</a>",HVD - Images,4085737,https://hollis.harvard.edu/primo-explore/fulldisplay?docid=HVD_VIAolvwork308277&context=L&vid=HVD2&lang=en_US
